3879,400
821787,30642
495,18
2,0
5392,1300
39,9
3532,197
558,0
16,0
755,50
1825,25
16979,1658
8110,800
1859,200
9653,1200
3999,100
352,0
136,0
23,2
6619399,5089088
2197314,1860230
1151075,964190
1035969,797031
306346,185360
114310,103920
92786,56160
27042,23000
23719,14400
22021,11960
18999,12000
18960,12000
18419,12000
17264,10400
16573,9765
5957,6515
5101,900
0,1
700,130
6,0
1289581,1078546
1173093,1057010
836182,734440
766355,734390
651518,406980
206710,132000
160387,115000
114444,73600
45264,27600
14535,9200
10883,6900
7360,4600
7129,4600
5023,2990
345,18
192,64
115,3
22,0
1707777,1563540
1649340,1425310
1140886,962620
805147,491590
712256,644810
476230,306674
472305,399750
306270,202200
175113,93240
120790,109810
111618,47150
66130,39600
58515,36804
37386,23000
37271,24156
28151,18400
27967,18400
27583,15410
22721,21890
5411,2400
1490,330
843,56
2,1
40567,2368
5999,800
9,2
2450,1000
2449,1000
11,2
13,2
583367,754
13999,10
10000,10
4400,2
526815,458
363524,240
54248,356
38978,3294
22475,145
13628,986
11498,500
2500,2
1769,398
621,5
583,8
477,8
268,3
76,1
69,0
277290,31
16500,3
5599,2
1406,238
164,2
0,1
335,2
20812,13875
381,6
209,25
2009,100
330,3
106,1
52,1
40389,7200
685,15
418,8
378,6
372,5
215,400
151999,10000
19278,11900
11040,907
1710,250
552,45
512,12
361,12
56,2
18,2
9,1
145089,39981
26649,11006
6977,3210
1888,842
990,30
417,8
371,12
279,9
220,30
62,2
59,1
